Scattered successful lookup:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
563866;14.6159;15.5967;35.8256;11.2467;11.5348
592020;16.2846;17.2084;37.8834;10.8814;11.8431
621581;15.8943;18.2824;40.2423;11.0649;12.1392
652620;16.8129;18.3274;42.3382;11.3592;12.541
685210;18.7875;21.0125;44.8829;11.715;13.0138
719429;21.2523;21.345;47.235;12.2075;13.6667
755358;21.8246;24.0567;50.1547;12.9307;14.453
793083;27.7073;28.11;40.8038;13.7846;15.5432
832694;29.6778;36.1594;42.7353;15.2116;17.3002
874285;36.6104;44.3645;44.6724;11.4429;12.993
917955;16.1266;17.827;46.8707;11.6179;13.409
963808;15.3206;18.2335;48.9715;11.808;13.6463
1011953;15.6931;17.6044;51.3042;11.9939;13.9484
1062505;17.2975;18.1909;53.4214;12.2358;14.2229
1115584;16.6593;18.8182;55.661;12.4711;14.5802
1171316;18.512;19.6251;58.211;12.6977;14.9513
1229834;19.299;20.8323;60.774;12.9954;15.3457
1291277;20.2828;23.1751;63.2863;13.3067;16.0779
1355792;21.645;25.0277;66.143;13.6805;16.5328
1423532;22.3367;27.459;68.7983;14.1716;17.2498
1494659;25.9256;28.8813;71.9488;15.2384;18.3052
1569342;28.0418;33.3403;75.0028;15.7575;20.1026
1647759;32.431;39.871;60.9888;17.0945;22.0801
1730096;42.5643;51.3576;63.195;12.5386;15.1732
1816549;50.2398;61.6304;65.4849;12.6677;15.5038
1907324;17.5859;20.7922;67.8002;13.0476;15.967
2002637;16.7357;20.3131;70.2897;13.0323;16.9886
2102715;17.1037;22.4576;72.752;13.2375;17.0962
2207796;18.9127;23.4528;75.2308;13.4287;17.674
2318131;18.3129;23.3879;78.0909;13.9309;18.3654
2433982;20.5462;24.6959;80.9143;14.2874;19.0592
2555625;20.5489;26.2363;83.8016;14.5653;19.7636
2683350;21.9715;29.7126;86.8833;15.1448;20.5969
2817461;23.8615;32.2801;90.1239;15.9308;21.5367
2958277;26.2796;35.6182;93.4849;16.6244;23.1837
3106133;31.9956;39.7394;97.1979;18.1526;24.2728
3261381;36.8459;46.4543;71.5957;19.5903;26.3829
3424391;44.7454;57.0698;73.6709;22.1729;29.8371
3595551;55.9388;67.6839;75.8645;15.6033;19.332
3775269;19.2465;24.1897;78.1167;15.4951;20.6937
3963972;21.1054;25.8462;80.4938;15.7476;20.9233
4162110;20.3506;26.9397;83.0619;16.4693;21.2927
4370154;21.1608;27.5918;85.6172;17.0078;22.2
4588600;22.964;28.8756;88.2518;16.7962;21.9045
4817968;23.5183;30.1783;91.1745;16.812;23.0192
5058804;24.6562;30.2731;94.1785;17.4582;23.563
5311681;26.2701;33.5052;97.3613;18.6328;24.5607
5577201;27.2565;34.6849;100.525;19.2046;24.7324
5855997;30.4285;38.2689;104.045;19.5879;26.745
6148732;34.3585;44.2352;107.777;20.8419;28.0501
6456103;38.8587;50.8823;75.2633;22.7636;30.1665
6778842;46.7927;60.3227;76.3046;24.9319;33.3592
7117717;57.8466;75.4447;78.8051;31.3595;35.3819
7473535;36.1076;40.5;80.7181;31.3502;36.4334
7847143;36.1579;42.1944;82.7528;31.5254;36.4915
8239431;38.196;42.2413;84.0637;31.2482;37.6336
8651333;38.8546;42.0899;86.8594;31.7578;37.4905
9083830;39.0845;44.2122;88.329;32.7332;38.022
9537951;38.8017;46.7831;90.5757;32.5623;39.0256
