No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
874285;200.465;145.92;193.287
917955;204.444;150.289;200.891
963808;207.453;155.051;207.76
1011953;210.594;221.059;255.135
1062505;216.655;220.26;260.264
1115584;221.722;221.323;267.103
1171316;226.429;221.186;272.36
1229834;233.499;219.787;280.098
1291277;240.046;221.91;285.414
1355792;319.526;222.799;292.11
1423532;319.533;225.777;297.006
1494659;320.827;226.316;302.158
1569342;321.415;229.424;310.992
1647759;322.697;232.163;314.435
1730096;324.654;236.31;320.443
1816549;327.078;241.145;328.095
1907324;329.477;244.582;334.606
2002637;333.349;326.865;392.356
2102715;336.81;324.969;397.007
2207796;341.25;322.917;401.905
2318131;343.186;320.903;405.101
2433982;347.18;321.432;408.371
2555625;352.33;319.14;412.616
2683350;443.464;320.234;422.086
2817461;442.411;320.266;421.439
2958277;441.65;321.484;427.38
